Open,High,Low,Close,Volume,Daily Variation
188.85478346401288,190.1484487418159,188.4766311807352,189.4717559814453,38415400,0.0032139925541954106
189.96933244559008,191.15353347560767,188.04874872654685,188.44679260253903,43014200,-0.005409583996290435
188.9145072113341,189.3921780956972,187.27255720148867,189.0239715576172,48794400,0.0030628218560107
189.40211098182945,190.6261102728152,188.3074675935333,190.30767822265625,45679300,0.006791237399473182
189.05382196941733,189.12348800008925,186.53615721754525,188.50650024414065,43389500,-0.009464557580321387
189.28270844769884,193.45226890347428,189.2528407319119,192.47705078125,66628400,0.021063202234230527
193.50202134703213,193.81050761672597,191.1734328747628,191.3824157714844,41089700,-0.0056870936317995335
192.6860272053144,194.0493433741143,192.64621370853777,193.32290649414065,47477700,0.010139336546850064
193.25324166018223,195.03452363413496,192.72582670763532,194.75588989257807,53377300,0.0074123828594561125
192.16855411471755,192.54670640437527,190.48679074363932,192.2382049560547,60943700,-0.01292738791064063
192.13872941737023,193.770733747099,190.7853588621512,193.7607879638672,52696900,0.007920293513771437
194.13890022422,197.0347171354669,193.90007998207173,196.9949188232422,70404200,0.016691358934698863
197.0546227075805,198.64681332186493,195.20368991998,197.1441802978516,66831600,0.0007576920029259693
196.5670132843794,197.4327670575499,196.0395983209077,196.60682678222656,128256700,-0.0027256879447984383
195.13403475719852,195.67141069754172,193.4423254921639,194.9350128173828,55751900,-0.00850333628900668
195.2036927535996,195.9898346980568,194.9350047944863,195.9798889160156,40714100,0.005360125323466747
195.9400886555705,196.71628487042167,193.88018798828125,193.88018798828125,52242800,-0.010713859158447359
195.14398662703297,196.1192047157488,192.55665597684,193.73089599609372,46482500,-0.0007700219075326142
194.22845757962483,194.45734722393945,192.02924020237552,192.6561737060547,37122800,-0.005547500745883616
192.66613899324835,192.9447727598921,191.8899427598264,192.1088714599609,28919300,-0.0028408238135614328
191.55158790358445,192.5566585360189,190.1584040025029,192.20835876464844,48087700,0.0005178693931804368
193.1935590517849,193.7110282824159,192.2282866262087,192.63629150390625,34049900,0.002226400256514438
192.9547010641641,193.452263485871,190.7952819760843,191.5913848876953,42628800,-0.005424245909498082
186.2376030973938,187.52132261231023,182.9935016661129,184.73497009277344,82488700,-0.03578665501552114
183.3218930760244,184.973803899141,182.53573597559208,183.35174560546875,58414500,-0.007487615834782302
181.261998363711,182.19741821935423,179.99820064627082,181.02317810058597,71983600,-0.01270000183087061
181.10277101042317,181.8690061871609,179.29163655398915,180.2967071533203,62303300,-0.004013137736770811
181.20228054123743,184.6951784875532,180.6151605231867,184.6553649902344,59144500,0.024174916479243302
183.02335798455337,184.24735728099785,181.83915700040632,184.23741149902344,42841800,-0.0022634245760098093
183.45127673118876,185.49127057687537,183.02336513916435,185.2823028564453,46792900,0.005671439632809916
185.63057672110963,186.13810009590225,182.7248140769861,184.68521118164065,49128400,-0.0032226049957252423
185.1529277118819,185.8296205077815,184.2871739488164,185.01361083984372,40444700,0.0017781589337984016
181.2719521956393,183.36170533773225,180.04793765769844,182.7347869873047,65603000,-0.012317060578379224
180.38628371133652,182.03817940296344,179.42101140332082,181.78939819335935,47317400,-0.0051735567678803385
185.18279289864887,188.217926944481,184.92406588558168,187.71041870117188,78005800,0.032570769069352856
188.40700480825,191.0142272656924,187.8994965603635,190.62612915039065,68741000,0.015533024055848887
191.3625031283665,194.37773007418247,191.3226896328841,192.9447479248047,60133900,0.012163173982223663
194.06924615918857,194.7956830243268,192.8850451968675,194.22845458984372,42355600,0.006653234559871546
194.46730139362447,195.42262795546443,193.3925647057047,193.55178833007807,53631300,-0.0034838678050267413
194.26827279243787,195.3131569130008,192.1685587692801,193.223388671875,54822100,-0.0016967017511768656
193.32290534776368,193.8105067973861,191.00426266727368,191.4819183349609,44594000,-0.009012730544082248
191.07393711733675,191.26301328826548,188.6557907655265,190.79530334472656,47145600,-0.0035857954432713113
190.00914701951908,190.86495502370775,186.5560624711159,187.12327575683597,55859400,-0.01924590135877724
186.1281514224312,186.18787167030365,183.4512782422412,183.5010223388672,55467800,-0.019357578063542658
183.0930320985484,186.038593239456,182.9238626911125,185.94903564453125,64885400,0.013340597640613572
178.9831513103476,186.41673495449572,178.3761245608121,184.94395446777344,102518000,-0.005405143260216572
187.23275511187197,188.3273986414084,184.93401888424728,186.7650451660156,69668800,0.009846716555200974
185.9490291787125,188.38708201253655,185.8594715869018,188.37713623046875,43490800,0.008631653010980456
189.710602105516,190.118606941087,187.69049986083044,188.48660278320312,53439000,0.0005811031791058685
188.4666921831057,188.6159548348253,186.4366441977198,187.40191650390625,40962000,-0.005754712872322654
187.96985257532492,189.30503301755343,187.3222021069975,188.1691436767578,45155200,0.004094019886053735
187.7406910525987,187.9897897322466,186.1165627960856,186.4752655029297,41781900,-0.009001891281058882
185.1002428282,185.53865891732192,182.84838113476025,184.37286376953125,56529500,-0.011274426813273064
184.6518638454696,184.8610982078661,181.78224238811129,183.48606872558597,54630500,-0.004809791559422738
182.88824837462903,183.82486181575325,180.69618309757163,183.19712829589844,65434500,-0.0015747267991209624
182.75869330174024,184.18354546694675,181.0150027746939,181.65269470214844,49701400,-0.008430446525643398
181.134577279735,181.77226924950585,179.3510375405212,180.9054107666016,53665600,-0.0041138059458580845
181.28405435734408,182.23062628266825,180.00867035619171,181.6626892089844,41529700,0.004186046393934717
182.81847067506192,184.29314557915657,181.8021591646684,183.70526123046875,52292200,0.011243761888466652
184.34298212256263,184.3728727479333,181.5730060105222,181.86196899414065,45119700,-0.010033965407313938
